Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-01-02,35.87,35.14,35.95,35.05,91735,343290245.00,2.51,-2.04,-0.73,0.16
2024-01-03,35.06,34.97,35.42,34.73,67303,249321150.00,1.96,-0.48,-0.17,0.12
2024-01-04,34.96,33.73,34.96,33.48,116108,417476610.00,4.23,-3.55,-1.24,0.21
2024-01-05,33.73,32.87,33.93,32.64,130887,460755408.00,3.82,-2.55,-0.86,0.24
2024-01-08,32.85,32.43,33.00,32.27,89611,309961046.00,2.22,-1.34,-0.44,0.16
2024-01-09,32.43,32.53,33.00,32.10,80398,278390217.00,2.78,0.31,0.10,0.14
2024-01-10,32.27,32.74,33.30,32.12,92082,320081145.00,3.63,0.65,0.21,0.17
2024-01-11,32.62,32.78,33.02,32.17,94061,326300848.00,2.60,0.12,0.04,0.17
2024-01-12,32.50,32.46,32.93,32.23,72889,252552770.00,2.14,-0.98,-0.32,0.13
2024-01-15,32.22,32.23,32.77,32.04,87990,302758461.00,2.25,-0.71,-0.23,0.16
2024-01-16,32.12,32.28,32.35,31.82,96479,329582989.00,1.64,0.16,0.05,0.17
2024-01-17,32.28,31.62,32.29,31.62,102500,347156790.00,2.08,-2.04,-0.66,0.18
2024-01-18,31.67,32.62,32.72,30.94,170077,572543865.00,5.63,3.16,1.00,0.31
2024-01-19,32.32,32.92,33.14,32.30,149901,523390970.00,2.58,0.92,0.30,0.27
2024-01-22,32.98,33.12,33.22,32.42,146550,513387930.00,2.43,0.61,0.20,0.26
2024-01-23,32.72,33.08,33.34,32.43,119628,418499941.00,2.75,-0.12,-0.04,0.22
2024-01-24,33.60,33.55,34.01,32.84,124320,440842107.00,3.54,1.42,0.47,0.22
2024-01-25,33.94,33.74,33.96,33.32,99013,354022753.00,1.91,0.57,0.19,0.18
2024-01-26,33.40,33.60,33.70,33.14,97558,345750532.00,1.66,-0.41,-0.14,0.18
2024-01-29,33.37,33.02,33.76,32.77,89180,314585104.00,2.95,-1.73,-0.58,0.16
2024-01-30,32.82,32.91,33.12,32.31,100979,351906123.00,2.45,-0.33,-0.11,0.18
2024-01-31,32.83,31.85,32.95,31.78,102081,350101624.00,3.56,-3.22,-1.06,0.18
2024-02-01,32.02,32.32,32.59,31.78,98980,339968173.00,2.54,1.48,0.47,0.18
2024-02-02,32.48,32.56,33.00,31.42,105982,365190317.00,4.89,0.74,0.24,0.19
2024-02-05,32.20,33.02,33.22,31.57,155237,534880663.00,5.07,1.41,0.46,0.28
2024-02-06,32.92,34.71,34.72,32.67,180938,656566098.00,6.21,5.12,1.69,0.33
2024-02-07,34.82,35.45,35.45,34.43,170841,635489988.00,2.94,2.13,0.74,0.31
2024-02-08,35.42,35.28,35.86,34.87,130940,488449734.00,2.79,-0.48,-0.17,0.24
2024-02-19,35.90,35.70,36.17,35.43,140375,530811482.00,2.10,1.19,0.42,0.25
2024-02-20,35.90,35.73,36.15,35.42,96752,364837888.00,2.04,0.08,0.03,0.17
2024-02-21,35.40,37.52,37.87,35.33,261344,1023619761.00,7.11,5.01,1.79,0.47
2024-02-22,37.62,39.20,39.29,37.27,195900,791910115.00,5.38,4.48,1.68,0.35
2024-02-23,39.21,39.40,39.66,38.62,151203,624838581.00,2.65,0.51,0.20,0.27
2024-02-26,39.20,38.14,39.40,38.12,136374,554623172.00,3.25,-3.20,-1.26,0.25
2024-02-27,37.82,38.21,38.24,37.62,94879,379413457.00,1.63,0.18,0.07,0.17
2024-02-28,38.21,38.33,39.30,37.94,126529,515322092.00,3.56,0.31,0.12,0.23
2024-02-29,38.33,38.58,38.92,38.25,87316,355245759.00,1.75,0.65,0.25,0.16
2024-03-01,38.42,38.31,38.64,38.02,96736,390533729.00,1.61,-0.70,-0.27,0.17
2024-03-04,38.17,37.88,38.22,37.39,88920,355221804.00,2.17,-1.12,-0.43,0.16
2024-03-05,37.81,38.86,38.90,37.64,119221,484362174.00,3.33,2.59,0.98,0.21
2024-03-06,38.86,37.92,39.14,37.92,83439,336566550.00,3.14,-2.42,-0.94,0.15
2024-03-07,37.92,37.28,38.22,37.22,87402,346789486.00,2.64,-1.69,-0.64,0.16
2024-03-08,37.30,37.04,37.69,36.78,60468,236738196.00,2.44,-0.64,-0.24,0.11
2024-03-11,37.11,37.92,38.12,37.08,89049,354880374.00,2.81,2.38,0.88,0.16
2024-03-12,37.92,40.09,40.22,37.86,195102,808795228.00,6.22,5.72,2.17,0.35
2024-03-13,40.02,39.65,40.52,39.16,116305,485358768.00,3.39,-1.10,-0.44,0.21
2024-03-14,39.61,39.14,39.92,39.05,63311,262203072.00,2.19,-1.29,-0.51,0.11
2024-03-15,39.03,38.92,39.60,38.47,82792,338823426.00,2.89,-0.56,-0.22,0.15
2024-03-18,38.91,39.07,39.30,38.47,82198,336666262.00,2.13,0.39,0.15,0.15
2024-03-19,38.90,38.63,39.21,38.40,70462,287813445.00,2.07,-1.13,-0.44,0.13
2024-03-20,38.62,38.50,38.72,38.27,50983,206743528.00,1.16,-0.34,-0.13,0.09
2024-03-21,38.85,38.70,39.12,38.41,68871,281026851.00,1.84,0.52,0.20,0.12
2024-03-22,38.59,37.75,38.69,37.33,93982,374391576.00,3.51,-2.45,-0.95,0.17
2024-03-25,37.93,37.55,38.40,37.30,60801,242176253.00,2.91,-0.53,-0.20,0.11
2024-03-26,38.02,38.92,38.92,37.78,86804,349687414.00,3.04,3.65,1.37,0.16
2024-03-27,38.55,37.97,38.82,37.92,70952,285443525.00,2.31,-2.44,-0.95,0.13
2024-03-28,37.35,37.50,38.12,36.85,126410,500438226.00,3.34,-1.24,-0.47,0.23
2024-03-29,37.47,37.33,37.92,37.12,39952,157617696.00,2.13,-0.45,-0.17,0.07
2024-04-01,37.31,37.71,38.27,37.30,80163,319756976.00,2.60,1.02,0.38,0.14
2024-04-02,37.73,36.71,37.81,36.52,98068,381187675.00,3.42,-2.65,-1.00,0.18
2024-04-03,36.53,36.47,37.03,36.32,64921,251107814.00,1.93,-0.65,-0.24,0.12
2024-04-08,36.42,35.79,36.46,35.73,83542,317550350.00,2.00,-1.86,-0.68,0.15
2024-04-09,35.88,35.86,36.12,35.28,80740,305187213.00,2.35,0.20,0.07,0.15
2024-04-10,35.86,35.32,35.90,35.13,64407,241395569.00,2.15,-1.51,-0.54,0.12
2024-04-11,34.92,34.81,35.22,34.57,71243,262899089.00,1.84,-1.44,-0.51,0.13
2024-04-12,34.82,34.08,35.24,33.92,96843,353523574.00,3.79,-2.10,-0.73,0.17
2024-04-15,34.02,34.77,34.94,33.94,96078,353020496.00,2.93,2.02,0.69,0.17
2024-04-16,34.63,34.46,35.46,34.34,114359,422466535.00,3.22,-0.89,-0.31,0.21
2024-04-17,34.49,35.19,35.27,34.28,88698,327993273.00,2.87,2.12,0.73,0.16
2024-04-18,35.12,35.60,36.37,34.80,107429,406846871.00,4.46,1.17,0.41,0.19
2024-04-19,35.46,35.11,35.60,34.63,72468,268660107.00,2.72,-1.38,-0.49,0.13
2024-04-22,35.10,35.92,36.15,34.81,91129,344826019.00,3.82,2.31,0.81,0.16
2024-04-23,36.22,35.89,36.37,35.58,62971,239405415.00,2.20,-0.08,-0.03,0.11
2024-04-24,36.35,35.63,36.37,35.44,59109,223340503.00,2.59,-0.72,-0.26,0.11
2024-04-25,35.63,35.98,36.10,35.15,63108,238755711.00,2.67,0.98,0.35,0.11
2024-04-26,35.77,36.76,36.99,35.73,102459,396528564.00,3.50,2.17,0.78,0.18
2024-04-29,37.12,37.49,38.29,36.94,149004,591259153.00,3.67,1.99,0.73,0.27
2024-04-30,37.46,37.18,37.76,37.01,79828,314636389.00,2.00,-0.83,-0.31,0.14
2024-05-06,37.83,37.60,38.31,37.25,112457,448610276.00,2.85,1.13,0.42,0.20
2024-05-07,37.38,37.65,37.82,37.01,82391,326517390.00,2.15,0.13,0.05,0.15
2024-05-08,37.60,37.01,37.68,36.87,74091,290600772.00,2.15,-1.70,-0.64,0.13
2024-05-09,37.00,36.85,37.20,36.63,97630,380241046.00,1.54,-0.43,-0.16,0.18
2024-05-10,36.91,36.77,37.28,36.42,69802,270982620.00,2.33,-0.22,-0.08,0.13
2024-05-13,36.53,36.56,36.74,36.08,62735,241319690.00,1.79,-0.57,-0.21,0.11
2024-05-14,36.56,36.22,36.83,36.13,84231,323786260.00,1.91,-0.93,-0.34,0.15
2024-05-15,36.20,35.82,36.42,35.78,53884,204779731.00,1.77,-1.10,-0.40,0.10
2024-05-16,35.92,35.42,35.97,35.20,98969,371613501.00,2.15,-1.12,-0.40,0.18
2024-05-17,35.42,35.92,35.96,35.15,103003,388947136.00,2.29,1.41,0.50,0.19
2024-05-20,35.92,36.27,36.77,35.92,130067,500019285.00,2.37,0.97,0.35,0.23
2024-05-21,36.22,36.88,36.88,35.76,81920,313141254.00,3.09,1.68,0.61,0.15
2024-05-22,36.48,35.83,36.48,35.66,135087,513051458.00,2.22,-2.85,-1.05,0.24
2024-05-23,35.62,35.01,35.70,34.92,109893,410232379.00,2.18,-2.29,-0.82,0.20
2024-05-24,34.69,33.93,34.80,33.93,178696,648003318.00,2.49,-3.08,-1.08,0.32
2024-05-27,33.94,34.13,34.16,33.51,115076,412631879.00,1.92,0.59,0.20,0.21
2024-05-28,34.07,33.73,34.10,33.64,73505,263744773.00,1.35,-1.17,-0.40,0.13
2024-05-29,33.73,33.92,34.10,33.73,57899,208709768.00,1.10,0.56,0.19,0.10
2024-05-30,33.97,34.04,34.31,33.82,75583,273015722.00,1.44,0.35,0.12,0.14
2024-05-31,34.31,33.72,34.40,33.72,78612,282871777.00,2.00,-0.94,-0.32,0.14
2024-06-03,33.72,33.52,33.82,33.22,83371,296458343.00,1.78,-0.59,-0.20,0.15
2024-06-04,33.49,33.95,34.10,33.43,75493,271375823.00,2.00,1.28,0.43,0.14
2024-06-05,34.10,33.94,34.34,33.87,63103,228161142.00,1.38,-0.03,-0.01,0.11
2024-06-06,33.96,33.66,34.25,33.57,79593,285497078.00,2.00,-0.82,-0.28,0.14
2024-06-07,33.87,33.38,34.07,33.22,78249,278213530.00,2.53,-0.83,-0.28,0.14
2024-06-11,33.30,33.27,33.49,32.97,60682,214508185.00,1.56,-0.33,-0.11,0.11
2024-06-12,33.22,33.45,33.71,33.22,66829,237796324.00,1.47,0.54,0.18,0.12
2024-06-13,33.45,33.33,33.50,33.17,57815,204670069.00,0.99,-0.36,-0.12,0.10
